Timestamp,GlobalHorizIrr(PSP),GHIFlag,DirNormIrr,DNIFlag,DiffuseHorizIrr,DHIFlag
1997-01-01,16990.01999999999,348.0,2391.0900000000015,344.0,15601.87,344.0
1997-01-02,18448.550000000007,383.0,9770.6,381.0,13572.700000000004,381.0
1997-01-03,23972.539999999986,788.0,31346.229999999992,796.0,12028.529999999993,796.0
1997-01-04,28370.55,674.0,45443.18000000001,671.0,11241.419999999993,671.0
1997-01-05,31587.9,455.0,49969.15,463.0,11187.119999999995,463.0
1997-01-06,32605.29999999999,640.0,65557.67000000003,649.0,7378.450000000002,649.0
1997-01-07,33462.95999999998,616.0,66627.94000000002,630.0,7482.319999999999,630.0
1997-01-08,29133.929999999993,724.0,41872.500000000015,805.0,13310.910000000005,805.0
1997-01-09,7247.7800000000025,357.0,38.46000000000001,357.0,6940.420000000001,357.0
1997-01-10,36149.219999999994,504.0,63537.8,520.0,8860.91,527.0
1997-01-11,22532.689999999995,476.0,1334.75,462.0,21155.80999999999,462.0
1997-01-12,30396.919999999995,830.0,50785.27,848.0,11281.939999999997,848.0
1997-01-13,40869.59999999998,1212.0,94992.54999999997,1252.0,5761.160000000001,1259.0
1997-01-14,40888.83999999999,1213.0,96921.63999999993,1265.0,5148.62,1265.0
1997-01-15,34192.780000000006,637.0,60008.86,640.0,11014.949999999997,647.0
1997-01-16,8001.360000000001,494.0,1074.0400000000002,494.0,7391.6500000000015,494.0
1997-01-17,42929.80999999999,1064.0,102601.81999999993,1136.0,5384.249999999999,1136.0
1997-01-18,40604.359999999986,602.0,88533.24999999999,628.0,7026.349999999999,628.0
1997-01-19,30723.20000000001,555.0,52177.84999999999,569.0,9079.869999999999,569.0
1997-01-20,30404.98,517.0,34458.54,516.0,13167.829999999996,516.0
1997-01-21,37898.77999999998,793.0,81948.17000000001,816.0,6686.580000000002,816.0
1997-01-22,15064.719999999998,407.0,4864.500000000001,405.0,12889.339999999993,405.0
1997-01-23,35739.02000000001,399.0,48967.82000000001,396.0,11709.620000000003,396.0
1997-01-24,13350.440000000002,418.0,94.99000000000004,411.0,12630.150000000005,411.0
1997-01-25,30215.109999999997,451.0,39214.96,445.0,12711.170000000004,445.0
1997-01-26,17047.160000000007,403.0,11191.509999999997,398.0,13612.560000000005,398.0
1997-01-27,11349.78,349.0,119.36,348.0,10797.150000000001,348.0
1997-01-28,20097.680000000015,420.0,4184.01,418.0,17798.959999999992,418.0
1997-01-29,50722.549999999996,948.0,104176.43999999996,797.0,5124.810000000003,797.0
1997-01-30,39576.18999999999,748.0,59916.98999999999,729.0,12112.829999999993,729.0
1997-01-31,34036.800000000025,393.0,30575.78,387.0,19926.30000000001,394.0
1997-02-01,45566.68000000001,566.0,95914.35000000002,593.0,5882.400000000002,593.0
1997-02-02,17565.24,413.0,251.93000000000006,404.0,16610.129999999997,404.0
1997-02-03,13427.23,464.0,183.57000000000002,462.0,12677.880000000005,469.0
1997-02-04,7654.989999999999,485.0,709.7999999999998,484.0,7115.04,484.0
1997-02-05,0.28,7.0,0.36000000000000004,7.0,0.0,7.0
1997-02-06,13469.090000000002,175.0,15744.630000000001,172.0,6195.639999999998,172.0
1997-02-07,10104.690000000008,471.0,49.56999999999999,471.0,9547.910000000002,471.0
1997-02-08,3007.090000000001,621.0,7.43,621.0,2665.3899999999994,621.0
1997-02-09,6460.069999999999,553.0,15.089999999999996,553.0,5765.749999999998,553.0
1997-02-10,7884.450000000005,469.0,15.269999999999998,469.0,7386.369999999997,469.0
1997-02-11,14917.470000000005,406.0,133.05999999999997,402.0,14152.799999999985,409.0
1997-02-12,26209.49000000001,575.0,4406.79,550.0,22793.269999999997,557.0
1997-02-13,14602.070000000005,442.0,124.66999999999999,437.0,13704.550000000003,437.0
1997-02-14,10507.400000000003,411.0,32.570000000000014,411.0,9907.110000000002,411.0
1997-02-15,37362.11999999998,627.0,37112.759999999995,637.0,21685.149999999998,637.0
1997-02-16,43044.579999999994,903.0,38735.24000000001,893.0,22090.23,900.0
1997-02-17,55381.12,552.0,104679.41999999995,573.0,6569.120000000001,573.0
1997-02-18,54935.219999999994,530.0,88376.74,525.0,11422.540000000003,525.0
1997-02-19,35907.13000000001,590.0,20243.460000000003,565.0,25394.89,565.0
1997-02-20,42338.73,744.0,29511.750000000004,734.0,24906.31,748.0
1997-02-21,20331.569999999996,735.0,618.43,702.0,18660.21000000001,702.0
1997-02-22,8082.6900000000005,479.0,84.92000000000002,478.0,7473.659999999995,478.0
1997-02-23,60222.54999999999,628.0,106859.10999999999,651.0,7916.44,651.0
1997-02-24,54250.71999999999,439.0,70126.22000000002,441.0,19015.069999999992,448.0
1997-02-25,60303.009999999995,598.0,107235.71,621.0,7865.850000000002,621.0
1997-02-26,16412.399999999994,562.0,1540.1499999999994,546.0,14995.370000000006,546.0
1997-02-27,30150.229999999992,517.0,28900.89000000001,504.0,14894.789999999999,511.0
1997-02-28,18146.269999999997,600.0,1623.2699999999995,583.0,16427.56,583.0
1997-03-01,24403.9,561.0,7671.9800000000005,547.0,19562.509999999995,547.0
1997-03-02,28905.269999999986,630.0,5121.1900000000005,604.0,24308.88,604.0
1997-03-03,13609.939999999999,533.0,4646.09,525.0,10199.440000000008,525.0
1997-03-04,59204.65000000001,739.0,84448.47999999998,746.0,12132.429999999998,746.0
1997-03-05,32396.209999999995,747.0,35214.560000000005,728.0,14495.32,728.0
1997-03-06,56968.2,646.0,73261.05000000003,650.0,16088.729999999992,650.0
1997-03-07,66708.85999999999,555.0,106232.67000000004,575.0,10268.119999999997,582.0
1997-03-08,57008.200000000004,707.0,72885.73999999998,710.0,14856.200000000003,710.0
1997-03-09,49852.15,644.0,54758.630000000005,621.0,21023.290000000008,628.0
1997-03-10,67412.52,685.0,100669.47999999997,919.0,9645.589999999991,697.0
1997-03-11,70175.12000000001,620.0,114942.53000000004,642.0,8048.279999999999,642.0
1997-03-12,69651.90999999999,1014.0,104344.15000000005,1074.0,10027.740000000003,1008.0
1997-03-13,41738.58000000001,922.0,20700.429999999997,879.0,26660.069999999974,886.0
1997-03-14,23280.58,678.0,1517.0200000000004,652.0,20787.04,652.0
1997-03-15,63445.810000000034,665.0,66903.3,716.0,22450.350000000002,650.0
1997-03-16,74987.10999999999,670.0,119404.40000000001,952.0,9497.160000000005,700.0
1997-03-17,28107.580000000013,1027.0,993.3799999999997,973.0,25325.370000000003,973.0
